Category,Product Name (Urdu / English),Price (PKR)
Deals,Deal 01 (01 Zinger Burger + 01 Reg Drink + Fries),450
Deals,Deal 02 (02 Zinger Burger + 02 Reg Drink + Fries),890
Deals,Deal 03 (01 Zinger Burger + 01 Chicken Shawarma + 01 Half Ltr Drink + Fries),640
Deals,Deal 04 (03 Zinger Burger + 01 Ltr Drink + Fries),1200
Deals,Deal 05 (02 Zinger Roll Paratha + 02 Zinger Shawarma + 01 Ltr Drink),1150
Deals,Deal 06 (02 Anda Shami Burger + 02 Chicken Shawarma + 01 Ltr Drink),780
Burger,Zinger Burger (زنگر برگر),400
Burger,Zinger Cheese Burger (زنگر چیز برگر),450
Burger,Chicken Patty Burger (چکن پیٹی برگر),280
Burger,Chicken Patty Burger Cheese (چکن پیٹی برگر چیز),330
Burger,Double Zinger Burger (ڈبل زنگر برگر),580
Burger,Chicken Platter Burger (چکن پلیٹر برگر),350
Burger,Shami Burger (شامی برگر),140
Burger,Anda Shami Burger (انڈہ شامی برگر),170
Burger,Double Anda Roll Burger (ڈبل انڈہ رول برگر),230
Burger,Shami Kebab (شامی کباب),40
Burger / Sides,Loaded Fries (لوڈڈ فرائز),350
Burger / Sides,Nuggets (نگٹس),350
Shawarma & Rolls,Chicken Shawarma (چکن شوارما),180
Shawarma & Rolls,Chicken Cheese Shawarma (چکن چیز شوارما),230
Shawarma & Rolls,Zinger Shawarma (زنگر شوارما),250
Shawarma & Rolls,Zinger Cheese Shawarma (زنگر چیز شوارما),300
Shawarma & Rolls,Chicken Roll Paratha (چکن رول پراٹھا),250
Shawarma & Rolls,Chicken Cheese Roll Paratha (چکن چیز رول پراٹھا),300
Shawarma & Rolls,Zinger Roll Paratha (زنگر رول پراٹھا),300
Shawarma & Rolls,Zinger Cheese Roll Paratha (زنگر چیز رول پراٹھا),350
Shawarma & Rolls,Wingt 6 Pcs (ونگز 6 پیس),350
Shawarma & Rolls,Platter Shawarma (پلیٹر شوارما),320
Shawarma & Rolls,Finger Chips (فنگر چپس),150
Bhalle & Chaat,Dahi Bhalle (دہی بھلے),220
Bhalle & Chaat,Chana Chaat (چنا چاٹ),220
Bhalle & Chaat,Papri Chaat (پاپڑی چاٹ),220
Bhalle & Chaat,Cream Fruit Chaat (کریم فروٹ چاٹ),250
Bhalle & Chaat,Khatte Meethe Gol Gappe Half (کھٹے میٹھے گول گپے ہاف),150
Bhalle & Chaat,Khatte Meethe Gol Gappe Full (کھٹے میٹھے گول گپے فل),250
Bhalle & Chaat,Chicken Pieces Small (چکن پیس چھوٹا),180
Bhalle & Chaat,Chicken Pieces Big (چکن پیس بڑا),280
Juices & Shakes,Apple Banana Milkshake (سیب کیلا ملک شیک),220
Juices & Shakes,Chiku Milkshake (چیکو ملک شیک),220
Juices & Shakes,Khajoor Banana Milkshake (کھجور کیلا ملک شیک),250
Juices & Shakes,Khajoor Badam Milkshake (کھجور بادام ملک شیک),300
Juices & Shakes,Mint Margarita (منٹ مارگریٹا),200
Juices & Shakes,Chocolate Shake (چاکلیٹ شیک),300
Juices & Shakes,Strawberry Milkshake (اسٹرابیری ملک شیک),300
Juices & Shakes,Falsa Juice (فالسہ جوس),220
Juices & Shakes,Pineapple Milkshake (پائن ایپل ملک شیک),300
Juices & Shakes,Ice Cream Milkshake (آئس کریم ملک شیک),220
Juices & Shakes,Ice Cream Large (آئس کریم لارج),220
Juices & Shakes,Ice Cream Small (آئس کریم سمال),250
Juices & Shakes,Kulfa Falooda (قلفہ فالودہ),300
Juices & Shakes,Almond Milkshake (آلو ملک شیک),250
Juices & Shakes,Anar Juice (انار جوس),300
Juices & Shakes,Apple Juice (سیب جوس),300
Juices & Shakes,Carrot Juice (گاجر جوس),160
Juices & Shakes,Grape Fruit Juice (گریپ فروٹ جوس),220
Juices & Shakes,Oreo Chocolate Shake (Oreo چاکلیٹ شیک),350
Juices & Shakes,Pineapple Juice (پائن ایپل کا جوس),260
Juices & Shakes,Malta Juice (مالٹا جوس),180
